document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access
embedding data science into computer science education,10.1109/EIT.2019.8833753,https://doi.org/10.1109/EIT.2019.8833753,I. B. Hassan; J. Liu,2019,NA,"As a fast-growing field with widespread impact on economy and its promising hiring potential, Data Science has been enthusiastically sought-out by many disciplines in the academia, including Mathematics, Statistics, Library Science, Management Information Systems, as well as Computer Science, as an attracting area for recruiting students, soliciting grants, and expanding their existing programs. Although some standalone programs in Data Science have been established around the country, many institutions encounter the challenges in balancing the curricula among different disciplines, allocating new resources, and cooperating with the existing majors regarding enrollment management, student advising, and faculty preparation. In this paper, a strategy-based framework is proposed for those who have limited resources of all kinds to introduce Data Science through their existing Computer Science programs at a baccalaureate level with a minimum curriculum disruption. Instead of a standalone program, to embed Data Science into Computer Science education is demonstrated to be a practical, effective, cost-saving approach based on an extensive study of the synergy between Data Science and Computer Science education. While the proposed framework is not a one-size-fits-all approach, it provides a doable route for blending Data Science into Computer Science education in systematic ways. It has become the consensus that an adequate exposure to Data Science will better prepare computer science students for taking the challenges in this ever-changing, data embraced world.",IEEE,NA
machine learning to the rescue: ml-assisted framework for equity-driven education,10.1109/educon52537.2022.9766530,https://doi.org/10.1109/educon52537.2022.9766530,W. Chung; X. Zhang; Z. Ahmad; H. Sayadi; S. Rafatirad,2022,NA,"Data Science has recently experienced a significant surge in producing undergraduate degree/certificate and course enrollments. This growth has resulted in straining program resources at many institutions and causing concern about how to most effectively respond to the rapidly growing demand and provide equal opportunities for all students to pursue their degree. The primary goal of this work is to provide an intelligent solution to automatically identify biases related to race and gender in the content of Data Science related courses such as Machine Learning (ML), Natural Language Processing (NLP), Data Mining, Data Analytics, and Knowledge Discovery just to name a few. While machine learning allows to build powerful predicting tools, it hasn’t been used sufficiently to detect biases rooted in gender and race in educational material. Hence, using effective machine learning techniques we aim to enhance the success rate of undergraduate students in Data Science education and programs while promoting engagement through identifying and mitigating potential gender and racial biases. To this end, we propose a novel bias detection approach which uses a combination of gender identification and sentiment classification for characterization of gender and race in educational contents. Our proposed framework can help educators and course developers to mitigate race and gender biases in their course materials and create an equitable learning experience for students of minority and under-represented groups.",IEEE,NA
targeted curricular innovations in data science,10.1109/fie43999.2019.9028491,https://doi.org/10.1109/fie43999.2019.9028491,B. Marshall; S. Geier,2020,NA,"Many employers expect skills such as proper data generation, collection, storage, and analysis; however, these skills are often not taught in the undergraduate experience. Many STEM disciplines require computing coursework that includes coding in a modern programming language but does not explicitly address data stewardship. In this research, we present a faculty-focused data science program to address this educational gap. The faculty at two undergraduate institutions participate in a year-long slate of activities to learn about data science and design mechanisms for classroom dissemination. We describe the program details and provide sample classroom implementations as well as a summary of faculty post-participation perceptions.",IEEE,NA
interdisciplinary education - the case of biomedical signal processing,10.1109/EDUCON45650.2020.9125200,https://doi.org/10.1109/EDUCON45650.2020.9125200,K. Mike; S. Nemirovsky-Rotman; O. Hazzan,2020,NA,"Interdisciplinary perspective on real-life problems is an important skill for 21st century engineers and should be a part of their education. Project-based learning (PBL) is a well-known pedagogical tool for interdisciplinary education. In order to successfully accomplish interdisciplinary learning, students must have sufficient knowledge in each of the separate disciplines. Use of cross-disciplinary teams, for example, is one way to make sure a project team includes specialists in all required disciplines. This, however, is not always the case. In many cases, there are significant knowledge gaps within the project team in one or more of the project domains. Specifically, in our case, fourth-year electrical engineering students are working in pairs on biomedical signal processing projects, which are evidently interdisciplinary in nature. The teams, however, are homogeneous and the students lack the essential medical expertise required to achieve solutions applicable by physicians. Furthermore, students tend to acknowledge this gap only in the advanced phases of the project, and so critical phases, such as goal setting and planning, are performed without the required knowledge. In this article, we present (a) data that supports the existence of this knowledge gap and its effect on students; (b) an intervention program that exposes students to both the required domain knowledge and its importance to their work; and (c) initial data that supports the success of this intervention program in bridging these gaps.",IEEE,NA
scaling data warehousing course projects,10.1109/csci.2016.0054,https://doi.org/10.1109/csci.2016.0054,K. C. Davis; D. Aggarwal; S. Baskin,2017,NA,"In this paper, we discuss the evolution of assignments in a data warehousing course to address the burgeoning interest and enrollment of students in data science programs. We focus on our experience incorporating the Teradata University Network (TUN) Data Challenge competition project as a class assignment. Students worked in small teams to answer questions posed by a non-profit organization, Hire Heroes USA, using their data about activities to help veterans and their spouses find employment. Students had free access to cutting edge industry visualization and analytics tools via TUN and its partner organizations. Course learning objectives were met successfully and students were enthusiastic about using real-world data to help a humanitarian organization better serve its clientele.",IEEE,NA
classroom configuration identifier (ccid),10.1109/iceed47294.2019.8994827,https://doi.org/10.1109/iceed47294.2019.8994827,N. Shaghaghi; M. Khadadeh; M. McGinnis; L. Liang; A. Calle,2020,NA,"Classroom Configuration Identifier (CCID) is an application utilizing AlexNet - an image recognition convolutional neural network (CNN) - trained and used for classification of classroom configurations. CCID is currently capable of categorizing footage of Santa Clara University's classrooms as 1. Forward-Facing Lectures 2. Circular or `U' Shaped Lectures and/or whole class discussions 3. Smaller Group discussions and 4. Empty classrooms with 97% accuracy. Further work on the sub-categorization of these categories is underway. CCID has been developed as a component to an ongoing, larger study into the effects of classroom configuration on student learning outcomes. While CCID specifically deals with the categorical analysis of the classroom configuration itself, the next phases of the study will couple this classroom data with anonymized student data, in order to draw conclusions about the most optimal classroom configurations for enhancing learning. By analyzing correlations between different classroom configurations and corresponding student performance, the study will ultimately be able to supply educators with the information needed to setup more effective learning environments.",IEEE,NA
data science in education: applications and challenges,10.1109/icdabi53623.2021.9655969,https://doi.org/10.1109/icdabi53623.2021.9655969,A. Felicia; W. K. Wong; W. N. Loh; F. H. Juwono,2021,NA,"In today’s technology environment, big data is a catchphrase that everyone is talking about. Most traditional pedagogies offer students limited timely feedback, require lecturers and teachers to spend hours grading routine assignments. These pedagogies fail in integrating ample digital resources and are not potent to enhance students’ understanding. Data has enormous potential to enhance research, decision making, and lifelong learning. The combination of complex disciplines of computer science and statistics with social science philosophy in education data science aims to study more about how students learn and interact in the educational environment with real-time data collection. Despite its infancy, the wide availability of educational data has spurred an interest in analyzing relevant knowledge to guide educational policy and practice. This paper discusses the applications of data science in education field as well as the challenges for future development.",IEEE,NA
challenges and approaches to teaching data science technologies in an information technology program with non-traditional students,10.1109/cic48465.2019.00015,https://doi.org/10.1109/cic48465.2019.00015,R. Price; L. Ramaswamy,2020,NA,"Teaching Data Science to traditional CS majors presents many challenges to students, faculty and the supporting infrastructure. When the student population changes from Computer Science students to those in an Information Technology program where many of the core CS courses are not required, additional challenges arise. Couple these challenges with teaching non-traditional students who are also involved with their families and careers; the difficulty in teaching this material rises exponentially. For our experiment, we chose to teach the Hadoop Distributed File System, the Map/Reduce paradigm, and basic Hadoop programming to expose these students to Data Science technologies. We will discuss our recent experience teaching Data Science to Information Technology students and the challenges we had to overcome, including missing distributed systems knowledge, a lack of basic Unix and operating systems understanding and a complete unfamiliarity with a Distributed File System.",IEEE,NA
edison data science framework (edsf): addressing demand for data science and analytics competences for the data driven digital economy,10.1109/educon46332.2021.9453997,https://doi.org/10.1109/educon46332.2021.9453997,Y. Demchenko; C. G. J. José; S. Brewer; T. Wiktorski,2021,NA,"Emerging data driven economy including industry, research and business, requires new types of specialists that are capable to support all stages of the data lifecycle from data production and input to data processing and actionable results delivery, visualisation and reporting, which can be jointly defined as the Data Science professions family. Data Science is becoming a new recognised field of science that leverages the Data Analytics methods with the power of the Big Data technologies and Cloud Computing that both provide a basis for effective use of the data driven research and economy models. Data Science research and education require a multi-disciplinary approach and data driven/centric paradigm shift. Besides core professional competences and knowledge in Data Science, increasing digitalisation of Science and Industry also requires new type of workplace and professional skills that rise the importance of critical thinking, problem solving and creativity required to work in highly automated and dynamic environment. The education and training of the data related professions must reflect all multi-disciplinary knowledge and competences that are required from the Data Science and handling practitioners in modern, data driven research and the digital economy. In modern conditions with the fast technology change and strong skills demand, the Data Science education and training should be customizable and delivered in multiple forms, also providing sufficient lab facilities for practical training. This paper discusses aspects of building customizable and interoperable Data Science curricula for different types of learners and target application domains. The proposed approach is based on using the EDISON Data Science Framework (EDSF) initially developed in the EU funded Project EDISON and currently being maintained by the EDISON Community Initiative.",IEEE,NA
customisable data science educational environment: from competences management and curriculum design to virtual labs on-demand,10.1109/cloudcom.2017.59,https://doi.org/10.1109/cloudcom.2017.59,Y. Demchenko; A. Belloum; C. de Laat; C. Loomis; T. Wiktorski; E. Spekschoor,2017,NA,"Data Science is an emerging field of science, which requires a multi-disciplinary approach and is based on the Big Data and data intensive technologies that both provide a basis for effective use of the data driven research and economy models. Modern data driven research and industry require new types of specialists that are capable to support all stages of the data lifecycle from data production and input to data processing and actionable results delivery, visualisation and reporting, which can be jointly defined as the Data Science professions family. The education and training of Data Scientists currently lacks a commonly accepted, harmonized instructional model that reflects all multi-disciplinary knowledge and competences that are required from the Data Science practitioners in modern, data driven research and the digital economy. The educational model and approach should also solve different aspects of the future professionals that includes both theoretical knowledge and practical skills that must be supported by corresponding education infrastructure and educational labs environment. In modern conditions with the fast technology change and strong skills demand, the Data Science education and training should be customizable and delivered in multiple form, also providing sufficient data labs facilities for practical training. This paper discussed both aspects: building customizable Data Science curriculum for different types of learners and proposing a hybrid model for virtual labs that can combine local university facility and use cloud based Big Data and Data analytics facilities and services on demand. The proposed approach is based on using the EDISON Data Science Framework (EDSF) developed in the EU funded Project EDISON and CYCLONE cloud automation systems being developed in another EU funded project CYCLONE.",IEEE,NA
edison data science framework (edsf) extension to address transversal skills required by emerging industry 4.0 transformation,10.1109/escience.2019.00076,https://doi.org/10.1109/escience.2019.00076,Y. Demchenko; T. Wiktorski; J. Cuadrado Gallego; S. Brewer,2020,NA,"The emerging data-driven economy (also defined as Industry 4.0 or simply 4IR), encompassing industry, research and business, requires new types of specialists that are able to support all stages of the data lifecycle from data production and input, to data processing and actionable results delivery, visualisation and reporting, which can be collectively defined as the Data Science family of professions. Data Science as a research and academic discipline provides a basis for Data Analytics and ML/AI applications. The education and training of the data related professions must reflect all multi-disciplinary knowledge and competences that are required from the Data Science and handling practitioners in modern, data-driven research and the digital economy. In the modern era, with ever faster technology changes, matched by strong skills demand, the Data Science education and training programme should be customizable and deliverable in multiple forms, tailored for different categories of professional roles and profiles. Referring to other publications by the authors on building customizable and interoperable Data Science curricula for different types of learners and target application domains, this paper is focused on defining a set of transversal competences and skills that are required from modern and future Data Science professions. These include workplace and professional skills that cover critical thinking, problem solving, and creativity required to work in highly automated and dynamic environment. The proposed approach is based on the EDISON Data Science Framework (EDSF) initially developed within the EU funded Project EDISON and currently being further developed in the EU funded MATES project and also the FAIRsFAIR projects.",IEEE,NA
quantitative and qualitative analysis of current data science programs from perspective of data science competence groups and framework,10.1109/cloudcom.2016.0109,https://doi.org/10.1109/cloudcom.2016.0109,T. Wiktorski; Y. Demchenko; A. Belloum; A. Shirazi,2017,NA,"Data Science is becoming a field connecting multi-year development in areas such as Big Data and Data Analytics, and also applied domains like Bioengineering. Data Science education programs are rapidly being created on all levels. Usually it happens through reuse or renaming and can result in curricula that lack proper balance of competences, which balance is necessary for future data scientists. Our quantitative analysis of over 300 programs worldwide shows that at least one of the three core data science competence groups is under-represented in the majority of programs. Moreover, general business courses are often suggested to students to cover the domain competence group, which in most cases results in superficial treatment of this competence group. Our further qualitative analysis demonstrates that learning outcomes for most of the courses are usually not defined or defined improperly.",IEEE,NA
ds lab notebook: a new tool for data science applications,10.1109/synasc51798.2020.00056,https://doi.org/10.1109/synasc51798.2020.00056,A. Ionascu; S. -A. Stefaniga,2021,NA,"The main focus of the technical application of this research relies on a web and mobile-based solution identified as Data Science Notebook named as DS Lab Notebook. Specifically, the main focus will be on tackling already present challenges in data science education and a solution presented around DS Lab, an interactive computational notebook. The core ideas are represented by the concept of extending the traditional computing notebooks, especially from the Jupyter family, with live visualizations, debugging, widgets, and interactivity during the educational process across all the major platforms: web, Android, and IOS. The features are outlined in several use cases that can be useful in the data-science teaching process, with a primary focus in matrix manipulations, scatter plots, and image filters. Python 3 was used as the main programming runtime and the back-end for providing access to variable values and type information is being described in the form of a runtime-independent pipeline relying on code parsing and injection.",IEEE,NA
challenges and issues in data science education,10.1109/mc.2021.3128734,https://doi.org/10.1109/mc.2021.3128734,J. Bonnell; M. Ogihara; Y. Yesha,2022,NA,"Data science is one of the fastest growing fields because of its ability to address analytic needs. However, the supply of data scientists has remained limited. Academic institutions must adapt to meet demand through programs to train future data scientists.",IEEE,NA
edupar virtual poster session,10.1109/ipdpsw52791.2021.00060,https://doi.org/10.1109/ipdpsw52791.2021.00060,J. Cámara; J. -C. Cano; J. Cuenca; T. Maeda; M. Saura-Sánchez; L. Tseng; A. Wakatani; M. Barnas,2021,NA,"This paper provides an overview of posters accepted for the EduPar 21 poster session. Poster sessions have been an important part of the EduPar workshops, providing an opportunity to facilitate interactions and fostering the community. After a hiatus caused by the COVID-19 pandemic we decided to resume the poster session tradition and to hold the first virtual poster session in EduPar’s eleven years history.",IEEE,NA
"an integrated, modular approach to data science education in microbiology",10.1371/journal.pcbi.1008661,https://doi.org/10.1371/journal.pcbi.1008661,"Dill-McFarland KA, König SG, Mazel F, Oliver DC, McEwen LM, Hong KY, Hallam SJ.",2021,NA,NA,pubmed,NA
roundtable on data science postsecondary education: a compilation of meeting highlights,10.17226/25804,https://doi.org/10.17226/25804,"National Academies of Sciences, Engineering, and Medicine; Division of Behavioral and Social Sciences and Education; Division on Engineering and Physical Sciences; Board on Science Education; Computer Science and Telecommunications Board; Committee on Applied and Theoretical Statistics; Board on Mathematical Sciences and Analytics; Casola L, editor.",2020,NA,NA,pubmed,NA
ad hoc efforts for advancing data science education,10.1371/journal.pcbi.1007695,https://doi.org/10.1371/journal.pcbi.1007695,"DeMasi O, Paxton A, Koy K.",2020,NA,NA,pubmed,NA
changing the nature of quantitative biology education: data science as a driver,10.1007/s11538-020-00785-0,https://doi.org/10.1007/s11538-020-00785-0,"Robeva RS, Jungck JR, Gross LJ.",2020,NA,NA,pubmed,NA
undergraduate data science degrees emphasize computer science and statistics but fall short in ethics training and domain-specific context,10.7717/peerj-cs.441,https://doi.org/10.7717/peerj-cs.441,"Oliver JC, McNeil T.",2021,NA,NA,pubmed,NA
hack weeks as a model for data science education and collaboration,10.1073/pnas.1717196115,https://doi.org/10.1073/pnas.1717196115,"Huppenkothen D, Arendt A, Hogg DW, Ram K, VanderPlas JT, Rokem A.",2018,NA,NA,pubmed,NA
quant data science meets dexterous artistry,10.1007/s41060-018-0138-6,https://doi.org/10.1007/s41060-018-0138-6,Dinov ID.,2019,NA,NA,pubmed,NA
an experience-centered approach to training effective data scientists,10.1089/big.2019.0100,https://doi.org/10.1089/big.2019.0100,"Rodolfa KT, Unanue A, Gee M, Ghani R.",2019,NA,NA,pubmed,NA
an overview of two open interactive computing environments useful for data science education,10.1093/jamiaopen/ooy040,https://doi.org/10.1093/jamiaopen/ooy040,"Hoyt R, Wangia-Anderson V.",2020,NA,NA,pubmed,NA
a guide to teaching data science,10.1080/00031305.2017.1356747,https://doi.org/10.1080/00031305.2017.1356747,"Hicks SC, Irizarry RA.",2019,NA,NA,pubmed,NA
turning health systems data into actionable information,10.1097/nna.0000000000000734,https://doi.org/10.1097/nna.0000000000000734,"Nelson-Brantley HV, Jenkins P, Chipps E.",2019,NA,NA,pubmed,NA
data science in undergraduate medicine: course overview and student perspectives,10.1016/j.ijmedinf.2021.104668,https://doi.org/10.1016/j.ijmedinf.2021.104668,"Doudesis D, Manataki A.",2022,NA,NA,pubmed,NA
developing and deploying a scalable computing platform to support mooc education in clinical data science,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8378646/,"Mayer D, Russell S, Wilson MP, Kahn MG, Wiley LK.",2021,NA,NA,pubmed,NA
"a critical mathematics perspective on reading data visualizations: reimagining through reformatting, reframing, and renarrating",10.1007/s10649-021-10087-4,https://doi.org/10.1007/s10649-021-10087-4,"Rubel LH, Nicol C, Chronaki A.",2021,NA,NA,pubmed,NA
the social media macroscope: a science gateway for research using social media data,10.1016/j.future.2019.10.029,https://doi.org/10.1016/j.future.2019.10.029,"Yun JT,Vance N,Wang C,Marini L,Troy J,Donelson C,Chin CL,Henderson MD",2020,Journal Article,"In recent years, the explosion of social media platforms and the public collection of social data has brought forth a growing desire and need for research capabilities in the realm of social media and social data analytics. Research on this scale, however, requires a high level of computational and data-science expertise, limiting the researchers who are capable of undertaking social media data-driven research to those with significant computational expertise or those who have access to such experts as part of their research team. The Social Media Macroscope (SMM) is a science gateway with the goal of removing that limitation and making social media data, analytics, and visualization tools accessible to researchers and students of all levels of expertise. The SMM provides a single point of access to a suite of intuitive web interfaces for performing social media data collection, analysis, and visualization via for open-source and commercial tools. Within the SMM social scientists are able to process and store large datasets and collaborate with other researchers by sharing ideas, data, and methods. This document functions as a brief primer on the initial build of the SMM and we end this paper discussing future directions for the SMM.",science direct,NA
exploring potential roles of academic libraries in undergraduate data science education curriculum development,10.1016/j.acalib.2021.102320,https://doi.org/10.1016/j.acalib.2021.102320,"Shao G,Quintana JP,Zakharov W,Purzer S,Kim E",2021,Journal Article,"Undergraduate data science education is receiving increasing interest in many higher education institutions in the U.S., with the proliferation of data and data related work and research. As an emerging interdisciplinary study field, data science curriculum is typically a collection of individual data science related courses from different schools and departments, most of which are teaching data science in a siloed fashion. Therefore, it is necessary to map the landscape of existing curricula and explore how academic libraries can collaborate and contribute to undergraduate data science education. In this study, we analyzed teaching content and topics of over 100 data science related courses at Purdue University to map the landscape and explore roles of academic libraries to support data science education curriculum. Our results indicate most existing courses focused on ‘hard-core’ scientific analytic principles, such as computer science, statistics, and domain-specific skills. Courses of data-oriented skills, such as data management, data ethics, and data communications were limited across disciplines. In addition, data science courses were more likely targeting STEM students at upper levels (3rd and 4th year students). Academic libraries can enrich data science education efforts, by supporting credit courses, certificate programs, and other co-curricular activities to provide learning opportunities to all students, particularly 1st and 2nd year students and non-STEM majors.",science direct,NA
statistical hypothesis testing versus machine learning binary classification: distinctions and guidelines,10.1016/j.patter.2020.100115,https://doi.org/10.1016/j.patter.2020.100115,"Li JJ,Tong X",2020,Journal Article,"Summary Making binary decisions is a common data analytical task in scientific research and industrial applications. In data sciences, there are two related but distinct strategies: hypothesis testing and binary classification. In practice, how to choose between these two strategies can be unclear and rather confusing. Here, we summarize key distinctions between these two strategies in three aspects and list five practical guidelines for data analysts to choose the appropriate strategy for specific analysis needs. We demonstrate the use of those guidelines in a cancer driver gene prediction example.",science direct,NA
robust effects of the efficacy of explicit failure-driven scaffolding in problem-solving prior to instruction: a replication and extension,10.1016/j.learninstruc.2021.101488,https://doi.org/10.1016/j.learninstruc.2021.101488,"Sinha T,Kapur M",2021,Journal Article,"Although Productive Failure has shown to be effective (Kapur, 2016; Loibl, Roll, & Rummel, 2017), it is not clear if failure in problem-solving is necessary. Initial work in a quasi-experimental setting suggests that explicitly designing for experiences of failure leads to better learning outcomes than designing for success. We build on this to report on a controlled experimental study where students are exposed to failure-driven, success-driven, or no explicit scaffolding in problem-solving prior to instruction. For assessments of non-isomorphic conceptual understanding, our results align with those from prior work. Despite the similarity in posttest scores, students exposed to failure-driven scaffolding demonstrate higher quality of constructive reasoning than those receiving success-driven scaffolding. Additionally, our study reveals learning benefits of failure-driven scaffolding (for both posttest scores and reasoning quality) on assessments of transfer. Several cognitive, affective and meta-cognitive mechanisms are investigated to explain robust learning benefits of failure-driven scaffolding in preparatory problem-solving.",science direct,NA
chapter 5 - the data science education and leadership landscape,10.1016/b978-0-12-803844-4.00005-4,https://doi.org/10.1016/b978-0-12-803844-4.00005-4,Ryan L,2016,Book Chapter,"This primarily people-oriented chapter takes a next step forward from the previous chapter on big data ethics to discuss the current data science education landscape, and how we are preparing next-generation knowledge workers to be the new leaders of IT.",science direct,NA
chapter 3 - from self-service to self-sufficiency,10.1016/b978-0-12-803844-4.00003-0,https://doi.org/10.1016/b978-0-12-803844-4.00003-0,Ryan L,2016,Book Chapter,"This chapter explores the expansion of self-service to self-sufficiency, the changing role of information technology (IT) to enablement technology (ET), and emerging data science education in academia.",science direct,NA
chapter six - how can ocean science observations contribute to humanity?,10.1016/b978-0-12-823427-3.00005-0,https://doi.org/10.1016/b978-0-12-823427-3.00005-0,"Manzella GM,Emery W",2022,Book Chapter,"Experience is needed to prepare young ocean researchers to work in interdisciplinary environments and to teach them how to deal with complex processes. Such experience can be provided in courses/internships aimed at preparing qualified personnel to work on solution-oriented projects. These lessons are designed to deepen understanding in particular elements of ocean data science education: oceanography as a science in evolution, mutual understanding, the enrichment of data, and the process of moving from data to information. Such lessons combine the history of ocean science with ocean data methodologies and technologies, data quality elements, “fitness for use”/“fitness for purpose” and analyses. The approach consists of a significant mentoring program aimed at strengthening “thinking skills”—critical and creative thinking—and therefore the ability to solve complex problems.",science direct,NA
pressure test: finding appropriate data size for practice in data science education,10.1145/3537674.3554748,https://doi.org/10.1145/3537674.3554748,"Zheng Y., Liu A., Zheng S.",2022,Conference Paper,NA,Scopus,"All Open Access, Bronze"
data science education across the disciplines: underexamined opportunities for k-12 innovation,10.1111/bjet.13258,https://doi.org/10.1111/bjet.13258,"Jiang S., Lee V.R., Rosenberg J.M.",2022,Editorial,NA,Scopus,NA
enabling data science education in stem disciplines through supervised undergraduate research experiences,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f,Banadaki Y.,2022,Conference Paper,NA,Scopus,NA
data-centricity: rethinking introductory computing to support data science,10.1145/3531072.3535317,https://doi.org/10.1145/3531072.3535317,Fisler K.,2022,Conference Paper,NA,Scopus,NA
a blended-learning program for implementing a rigorous machine-learning curriculum in high-schools,10.1145/3491140.3528291,https://doi.org/10.1145/3491140.3528291,"Perach S., Alexandron G.",2022,Conference Paper,NA,Scopus,NA
automated data-driven generation of personalized pedagogical interventions in intelligent tutoring systems,10.1007/s40593-021-00267-x,https://doi.org/10.1007/s40593-021-00267-x,"Kochmar E., Vu D.D., Belfer R., Gupta V., Serban I.V., Pineau J.",2022,Article,NA,Scopus,"All Open Access, Hybrid Gold"
sigcse 2022 - proceedings of the 53rd acm technical symposium on computer science education v. 2,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127440084&partnerID=40&md5=ad9a3a9f949bca693231a9b92a0c95e5,[No author name available],2022,Conference Review,NA,Scopus,NA
"""that's what science is, all this data:"" coding data visualizations in middle school science classrooms",10.1145/3478431.3499387,https://doi.org/10.1145/3478431.3499387,"Krakowski A., Greenwald E., Roman N.",2022,Conference Paper,NA,Scopus,"All Open Access, Bronze"
"identifying the content, lesson structure, and data use within pre-collegiate data science curricula",10.1007/s10956-021-09932-1,https://doi.org/10.1007/s10956-021-09932-1,"Lee V.R., Delaney V.",2022,Article,NA,Scopus,NA
a study of basic education of data science using robot learning material in junior high school technology education [中学校技術科におけるロボット教材を用いたデータサイエンスの基礎的素養教育の一考察],10.1541/ieejeiss.142.291,https://doi.org/10.1541/ieejeiss.142.291,"Susawa Y., Murai K., Kawada K.",2022,Article,NA,Scopus,NA
embodied agents to scaffold data science education,10.1007/978-3-031-11647-6_26,https://doi.org/10.1007/978-3-031-11647-6_26,"Sinha T., Malhotra S.",2022,Conference Paper,NA,Scopus,NA
data science education programmes in middle eastern institutions: a survey study,10.1177/03400352221113362,https://doi.org/10.1177/03400352221113362,Zakaria M.S.,2022,Article,NA,Scopus,NA
integration of philosophy of science in biomedical data science education to foster better scientific practice,10.1007/s11191-022-00363-x,https://doi.org/10.1007/s11191-022-00363-x,"Pieterman-Bos A., van Mil M.H.W.",2022,Article,NA,Scopus,"All Open Access, Hybrid Gold"
work integrated learning in data science and a proposed assessment framework,10.52041/serj.v21i2.26,https://doi.org/10.52041/serj.v21i2.26,"Bilgin A.A.B., Powell A., Richards D.",2022,Article,NA,Scopus,"All Open Access, Bronze"
machine learning for non-major data science students: a white box approach,10.52041/serj.v21i2.45,https://doi.org/10.52041/serj.v21i2.45,"Mike K., Hazzan O.",2022,Article,NA,Scopus,"All Open Access, Bronze"
integrating the humanities into data science education: reimagining the introductory data science course,10.52041/serj.v21i2.42,https://doi.org/10.52041/serj.v21i2.42,"Vance E.A., Glimp D.R., Pieplow N.D., Garrity J.M., Melbourne B.A.",2022,Article,NA,Scopus,"All Open Access, Bronze"
“i love math only if it’s coding”: a case study of student experiences in the introduction to data science course,10.52041/serj.v21i2.43,https://doi.org/10.52041/serj.v21i2.43,Heinzman E.,2022,Article,NA,Scopus,"All Open Access, Bronze"
a place for a data science introduction in school: between statistics and programming,10.52041/serj.v21i2.46,https://doi.org/10.52041/serj.v21i2.46,"Podworny S., Hüsing S., Schulte C., Podworny S.",2022,Article,NA,Scopus,"All Open Access, Bronze"
investigating data like a data scientist: key practices and processes,10.52041/serj.v21i2.41,https://doi.org/10.52041/serj.v21i2.41,"Lee H.S., Mojica G.F., Thrasher E.P., Baumgartner P.",2022,Article,NA,Scopus,"All Open Access, Bronze"
editorial: research on data science education special issue of the statistics education research journal,10.52041/serj.v21i2.606,https://doi.org/10.52041/serj.v21i2.606,"Biehler R., De Veaux R., Engel J., Kazak S., Frischemeier D.",2022,Editorial,NA,Scopus,"All Open Access, Bronze"
toward holistic data science education,10.52041/serj.v21i2.40,https://doi.org/10.52041/serj.v21i2.40,"De Veaux R., Hoerl R., Snee R., Velleman P.",2022,Article,NA,Scopus,"All Open Access, Bronze"
introducing high school statistics teachers to predictive modelling and apis using code-driven tools,10.52041/serj.v21i2.49,https://doi.org/10.52041/serj.v21i2.49,"Fergusson A., Pfannkuch M.",2022,Article,NA,Scopus,"All Open Access, Bronze"
teaching statistics and data analysis with r,10.1080/26939169.2022.2089410,https://doi.org/10.1080/26939169.2022.2089410,"Tucker M.C., Shaw S.T., Son J.Y., Stigler J.W.",2022,Article,NA,Scopus,"All Open Access, Gold"
"what to teach, how to teach, and when to teach: musings on data science education",10.1080/26939169.2022.2097563,https://doi.org/10.1080/26939169.2022.2097563,Horton N.J.,2022,Editorial,NA,Scopus,"All Open Access, Gold"
the power of data science ontogeny: thick data studies on the indian it skill tutoring microcosm,10.1007/978-3-030-96180-0_4,https://doi.org/10.1007/978-3-030-96180-0_4,"Rangaswamy N., Narasimhan H.",2022,Book Chapter,NA,Scopus,"All Open Access, Hybrid Gold"
reflections on the current and potential k-12 impact of the journal of statistics and data science education,10.1080/26939169.2022.2054881,https://doi.org/10.1080/26939169.2022.2054881,"Dalton M., Groth R.E.",2022,Article,NA,Scopus,"All Open Access, Gold"
what should we teach? a human-centered data science graduate curriculum model design for ifield schools,10.1002/asi.24644,https://doi.org/10.1002/asi.24644,"Wu D., Xu H., Sun Y., Lv S.",2022,Article,NA,Scopus,NA
development of ipsj data science curriculum standard,10.1007/978-3-030-97986-7_13,https://doi.org/10.1007/978-3-030-97986-7_13,"Kakeshita T., Ishii K., Ishikawa Y., Matsubara H., Matsuo Y., Murata T., Nakano M., Nakatani T., Okumura H., Takahashi N., Takahashi N., Uchida G., Uematsu E., Saeki S., Kato H.",2022,Conference Paper,NA,Scopus,NA
30 years of the journal of statistics and data science education,10.1080/26939169.2022.2041325,https://doi.org/10.1080/26939169.2022.2041325,Horton N.J.,2022,Editorial,NA,Scopus,"All Open Access, Gold"
"the research data life cycle, legacy data, and dilemmas in research data management",10.1002/asi.24645,https://doi.org/10.1002/asi.24645,"Bossaller J., Million A.J.",2022,Article,NA,Scopus,"All Open Access, Hybrid Gold"
a call for a humanistic stance toward k–12 data science education,10.3102/0013189x211048810,https://doi.org/10.3102/0013189x211048810,"Lee V.R., Wilkerson M.H., Lanouette K.",2021,Review,NA,Scopus,"All Open Access, Hybrid Gold, Green"
